ID,Isconfidential,ProjectName,Street,City,State,Zipcode,Country,LEEDSystemVersion,PointsAchieved,CertLevel,CertDate,IsCertified,GrossFloorArea,ProjectTypes,RegistrationDate,UnitOfMeasurement
1000072465,No,NAMSAN SQUARE,"173, Toegye-ro",Seoul,,004-554,South Korea,v2009,61,Gold,12/15/2016,Yes,725179,,5/13/2016,sq ft
1000074483,No,Lottemall Songdo A1 Block Officetel,"8-37 Songdo-dong, Yeonsu-gu",Incheon,,21998,South Korea,v2009,50,Silver,9/16/2019,Yes,1068726,,7/25/2016,sq ft
1000073502,No,CHANEL Korea Office Relocation,"41, Sejong-daero 9-gil, Jung-gu",Seoul,,04513,South Korea,v4,60,Gold,7/11/2017,Yes,3878,,6/27/2016,sq m
1000067906,No,Songdo convention Ctr phase II,"6-1, Songdo-dong, Yeonsu-gu",Incheon,,21998,South Korea,v2009,45,Certified,8/22/2018,Yes,46745,,3/3/2016,sq m
1000140920,No,BYULDABANG,"100, Toegye-ro, Jung-gu",Seoul,,04631,South Korea,v4,54,Silver,6/29/2021,Yes,363,,2/8/2021,sq m
1000070017,No,Headquarters of Daegu Bank,"2310, Dalgubeoldae-ro, Suseong-gu,",Daegu Metropolitan City,,42123,South Korea,v2009,69,Gold,8/22/2018,Yes,27081,,4/4/2016,sq m
1000066194,No,"SENIOR LIVING QUARTERS, BUILDING NO. 204",USAG-Humphreys,USAG-Humphreys,,17977,South Korea,v2009,53,Silver,10/10/2018,Yes,37968,,1/18/2016,sq ft
1000086556,No,CENTROPOLIS,Ujeongguk-ro,Jongno-gu,,03161,South Korea,v2009,64,Gold,9/3/2018,Yes,113145,,10/19/2016,sq m
1000070809,No,Prada Seoul Shinsegae Gangnam Uomo,"176 Sinbanpo-ro, Seocho-Gu",Seoul,,137-040,South Korea,v2009,62,Gold,10/13/2016,Yes,1426,,4/6/2016,sq ft
1000085834,No,Miu Miu Busan Lotte Duty Free,"772 Gaya-daero, Busanjin-gu, Busan",Busan,,47285,South Korea,v2009,60,Gold,12/20/2019,Yes,1120,,10/18/2016,sq ft
1000085842,No,Prada Busan Lotte Duty Free,"772 Gaya-daero, Busanjin-gu, Busan",Busan,,47285,South Korea,v2009,60,Gold,7/12/2020,Yes,170,,10/18/2016,sq m
1000085389,No,Seoul Finance Center Recertification2018,11F 84 Taepyungro1-ga Chung-Gu,Seoul,,04520,South Korea,v2009,84,Platinum,6/26/2018,Yes,1164677,,10/16/2016,sq ft
1000075356,No,Gangnam Finance Center,"40th Floor, Gangnam Finance Center",Gangnam Gu,,06236,South Korea,v2009,82,Platinum,6/14/2018,Yes,1707788,,8/18/2016,sq ft
1000073588,No,ARMY FY17 81428 Family Housing,AFH Tower 3,Camp Walker,,45808,South Korea,v2009,53,Silver,1/9/2022,Yes,260429,,6/29/2016,sq ft
1000155685,No,Centropolis,Centropolis Building,Jongro-gu,,03161,South Korea,v4,92,Platinum,12/1/2022,Yes,1184329,,2/9/2022,sq ft
1000018115,No,NHN Entertainment PLAY MUSEUM,,Sungnam,,,South Korea,v2009,82,Platinum,9/3/2013,Yes,676944,,8/24/2011,sq ft
1000023416,No,Parnas Tower,521 Teheran-ro,Seoul,,06164,South Korea,v2009,62,Gold,5/24/2017,Yes,993642,,3/27/2012,sq ft
1000002831,No,State Tower Gwanghwamun,188 Beonji,Seoul,,110-130,South Korea,v2009,64,Gold,8/6/2013,Yes,441227,,12/4/2009,sq ft
1000032504,No,Hankook Tire Central RnD Center,"1020 (I-20), Daedeok R+D Special Zone",Daejeon,,305-328,South Korea,v2009,51,Gold,10/6/2016,Yes,656213,,5/7/2013,sq ft
1000016705,No,Citi Korea LEED CI,Youngdeungpo Youngdeungpo-dong 4 Ga,Seoul,,150-034,South Korea,v2009,53,Silver,11/18/2011,Yes,4031,,6/27/2011,sq ft
